id,country_id,region_id,city,latitude,longitude,time_zone
3637,44,1481,Mindelo,16.88,-25,-01:00
3638,44,1476,Praia,14.91,-23.51,-01:00
3639,64,5122,Brno,49.2,16.63,+01:00
3640,64,5125,Karlovy Vary,50.21,12.9,+01:00
3641,64,5129,Krnov,49.7,17.2,+01:00
3642,64,5128,Olomouc,49.58,17.25,+01:00
3643,64,1746,Prague,50.08,14.46,+01:00
3644,64,5130,Zamberk,50.1,16.46,+01:00
3645,91,1918,Aachen,50.76,6.1,+01:00
3646,91,1913,Ansbach,49.3,10.58,+01:00
3647,91,1926,Apolda,51.01,11.5,+01:00
3648,91,1913,Augsburg,48.36,10.88,+01:00
3649,91,1913,Bad Koenigshofen,50.3,10.48,+01:00
3650,91,1917,Bad Zwischenahn,53.18,8,+01:00
3651,91,1927,Berlin,52.51,13.4,+01:00
3652,91,1920,Bexbach,49.33,7.26,+01:00
3653,91,1917,Billerbeck,51.83,9.98,+01:00
3654,91,1919,Bingen Am Rhein,49.96,7.9,+01:00
3655,91,1916,Braunfels,50.51,8.4,+01:00
3656,91,1917,Braunschweig,52.26,10.53,+01:00
3657,91,1920,Budingen,49.45,6.55,+01:00
3658,91,1913,Coburg,50.25,10.96,+01:00
3659,91,1918,Cologne,50.93,6.95,+01:00
3660,91,1912,Crailsheim,49.15,10.08,+01:00
3661,91,1924,Cranzahl,50.51,13,+01:00
3662,91,1913,Dorfen,47.76,12.2,+01:00
3663,91,1918,Dortmund,51.51,7.45,+01:00
3664,91,1924,Dresden,51.05,13.75,+01:00
3665,91,1912,Eberbach,49.46,8.99,+01:00
3666,91,1913,Eichstatt,48.63,12.1,+01:00
3667,91,1926,Eisenach,50.98,10.31,+01:00
3668,91,1918,Emmerich,51.83,6.25,+01:00
3669,91,1926,Erfurt,50.98,11.03,+01:00
3670,91,1912,Esslingen,48.75,9.3,+01:00
3671,91,1921,Eutin,54.13,10.61,+01:00
3672,91,1912,Freiburg Im Breisgau,48,7.85,+01:00
